leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,size,section_count,total,station_x_m_mae,center_yz_m_mae,width_m_mae,width_m_relative_percent_mean,height_m_mae,height_m_relative_percent_mean,length_m_mae,length_m_relative_percent_mean
43,4,4,0,0.0037571139143871327,0.005815118894714265,0.00011275782890152186,0.002045575063675642,2.264974000354414e-06,0.002162862801924348,0.0027877744287252426,0.0011149821802973747,0.0006499672308564186,0.8398514986038208,0.003261841833591461,2.4364356994628906,0.004984438419342041,0.7714725136756897
44,3,3,0,0.005635075404888214,0.007545757382134714,0.0001079625217244029,0.0015623493818566203,1.5735502529423684e-05,0.0017017829231917858,0.005098432302474976,0.0006396271637640893,0.0008066259324550629,1.0678075551986694,0.0013367285719141364,1.8386049270629883,0.012586057186126709,1.6853604316711426
45,6,6,0,0.012051401377930343,0.022199339431520415,0.0014550533378496766,0.0035876065958291292,1.7881377516459906e-06,0.005046236328780651,0.011380570940673351,0.0012935481499880552,0.002742631360888481,3.1824233531951904,0.0012124832719564438,1.3177117109298706,0.01833474636077881,3.3773603439331055
46,6,6,0,0.01021203640423491,0.012463392137625698,0.0008553694933652878,0.005040158051997423,2.0265558760002023e-06,0.0058995806612074375,0.009201868437230587,0.0016452179988846183,0.002554992213845253,2.6102797985076904,0.0031329120974987745,2.750894546508789,0.021471023559570312,2.620454788208008
47,6,6,0,0.008771316771444009,0.00985082453618639,0.0006983021157793701,0.0010558812646195292,5.960462772236497e-07,0.0017553754150867462,0.008271884173154831,0.0013715969398617744,0.0018631387501955032,1.6511659622192383,0.0006603052606806159,0.7393194437026978,0.010428309440612793,1.1711747646331787
48,6,6,0,0.008146954671912614,0.008557141318029616,0.0015000292332842946,0.003221566788852215,1.6689286894688848e-06,0.0047249337658286095,0.007219082675874233,0.0017254188423976302,0.0009769059251993895,1.2215824127197266,0.0022146087139844894,2.607279062271118,0.009201228618621826,0.9664496183395386
49,7,7,0,0.018058079944953752,0.024494198498802282,0.009732365608215332,0.014980697073042393,1.311301275563892e-06,0.024715684354305267,0.01728730835020542,0.0010653638746589422,0.004651251714676619,4.507643222808838,0.005570604465901852,3.9044647216796875,0.02730262279510498,3.7033607959747314
50,3,3,0,0.0015480139619149945,0.0015903424812756433,3.875675247400068e-06,0.00012345098366495222,8.344646857949556e-07,0.000128995583509095,0.000825474679004401,0.0006792466156184673,0.00032726925564929843,0.44120705127716064,0.0004162651894148439,0.36590835452079773,0.0007146000862121582,0.07341399043798447
51,4,4,0,0.015192397534242768,0.02124834480560653,0.0009163259528577328,0.001224473468028009,5.960446742392378e-06,0.0021527204662561417,0.014433827251195908,0.001223582192324102,0.0009874161332845688,1.2786540985107422,0.002048337832093239,1.370715618133545,0.02676159143447876,3.7429215908050537
52,5,5,0,0.010900751163131037,0.011046052585312924,0.0006012971280142665,0.007312209811061621,7.986990567587782e-06,0.007929480634629726,0.009946930222213268,0.0017537296516820788,0.002250990364700556,2.941789388656616,0.004919351078569889,3.543379306793213,0.00960320234298706,0.9731208086013794
