leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,chord,twist,cst_code,section_count,total,cst_shape_coefficients_mae,cst_trailing_edge_y_mae,cst_n1_n2_mae,leading_edge_xyz_m_mae,chord_m_mae,chord_m_relative_percent_mean,twist_rad_mae
24,6,6,0,0.021507883565165115,0.04301576713033023,0.01985759288072586,0.03931731358170509,0.06230431795120239,0.25071385502815247,2.3841855067985307e-07,0.45162415504455566,0.02754438854753971,0.00044656204408966005,0.02202354185283184,0.00948411412537098,0.0040808310732245445,6.417524337768555,0.006827957928180695
25,3,3,0,0.022390377462942663,0.044780754925885326,0.004141959827393293,0.0048060729168355465,0.014803593046963215,0.07229495793581009,-0.0,0.11261442303657532,0.015530943870544434,0.00034072817652486265,0.013088226318359375,0.008309642784297466,0.004531388636678457,2.7127933502197266,0.002864937065169215
26,3,3,0,0.02487823086909487,0.07338883736054518,0.00902001466602087,0.0019166884012520313,0.05641070008277893,0.07538849860429764,2.3841855067985307e-07,0.17881667613983154,0.012624552473425865,0.000515704567078501,0.013907209038734436,0.010151051916182041,0.002850651741027832,1.398796796798706,0.0060935369692742825
27,2,2,0,0.01957317589470292,0.03910326340185389,0.0036337380297482014,4.6946002839831635e-05,0.0054663196206092834,0.11541726440191269,-0.0,0.13909922540187836,0.019359564408659935,0.0003712536417879164,0.013895876705646515,0.008687703870236874,0.0004835054278373718,0.23544703423976898,0.002265128307044506
28,8,8,0,0.033029817928183734,0.04548654334850065,0.013257231563329697,0.009207609109580517,0.0038796644657850266,0.37181681394577026,2.3841855067985307e-07,0.4511909484863281,0.033077992498874664,0.0011142392177134752,0.01963171176612377,0.015454287640750408,0.008587552234530449,3.1603212356567383,0.0016932968283072114
29,5,5,0,0.027987366156589748,0.05364738762224016,0.013429823331534863,0.02224748209118843,0.007398277521133423,0.3745676577091217,1.1920928244535389e-07,0.4713628888130188,0.033030569553375244,0.0005517664249055088,0.014687416143715382,0.011850902810692787,0.011790347285568714,5.419699192047119,0.002193015767261386
30,4,4,0,0.03944615916841206,0.05944154822044692,0.015246372669935226,0.004734335001558065,0.011584707535803318,0.3386960029602051,1.1920928244535389e-07,0.4312472641468048,0.03197358176112175,0.0003287873405497521,0.016357582062482834,0.01475934311747551,0.004391096532344818,2.1838746070861816,0.00250709755346179
31,3,3,0,0.03763218283450531,0.09535551446659167,0.010107160545885563,0.016580983996391296,0.007958242669701576,0.13646341860294342,-0.0,0.2115384340286255,0.01945975236594677,0.00018500888836570084,0.00991675816476345,0.012876449152827263,0.00899328850209713,4.618538856506348,0.002397185191512108
32,3,3,0,0.019704249189216382,0.03232662502803057,0.004373522009700537,0.0038921814411878586,0.009825780056416988,0.07328631728887558,-0.0,0.10887189209461212,0.015302980318665504,0.00021055983961559832,0.0135206189006567,0.008625848218798637,0.00512947142124176,2.236226797103882,0.0029166769236326218
33,4,4,0,0.051058154412373144,0.10492287061886103,0.023165419697761536,0.04319917410612106,0.003426428884267807,0.2094196081161499,7.152555099310121e-07,0.37187445163726807,0.02317856065928936,0.0008258810266852379,0.013711683452129364,0.018655775114893913,0.010398217476904392,7.682864665985107,0.0014172806404531002
34,7,7,0,0.02819519377904057,0.05639038755808114,0.007505867164582014,0.0601249523460865,0.14141511917114258,0.44587984681129456,1.311301275563892e-06,0.6849532127380371,0.036802079528570175,0.0007983885589055717,0.028012093156576157,0.012378305196762085,0.007507592439651489,8.418231010437012,0.009052771143615246
35,2,2,0,0.036730169982033156,0.13713503263529947,0.008793368935585022,0.006247338838875294,0.0070009659975767136,0.10401113331317902,2.3841855067985307e-07,0.16122698783874512,0.01789243146777153,0.00043312442721799016,0.004761189222335815,0.0143378134816885,0.007237635552883148,3.117000102996826,0.0024274569004774094
36,2,2,0,0.01508483752891732,0.029810741851101923,0.003073458094149828,0.022564370185136795,0.03403160348534584,0.12231491506099701,2.3841855067985307e-07,0.19427889585494995,0.019006002694368362,0.0007483117515221238,0.011351972818374634,0.005429062992334366,0.0091218501329422,5.37908935546875,0.0055021606385707855
37,3,3,0,0.015205612495287407,0.035821319970195525,0.005771508440375328,0.029890917241573334,0.06549028307199478,0.14982770383358002,1.1920928244535389e-07,0.2740668058395386,0.020644411444664,0.0006208299892023206,0.012121866457164288,0.007028480526059866,0.009134029969573021,6.0580034255981445,0.007263853680342436
38,3,3,0,0.028221891900215897,0.056443783800431795,0.004586299415677786,0.025285780429840088,0.00022486205853056163,0.10158902406692505,-0.0,0.1500311642885208,0.01714952476322651,0.0002735480375122279,0.012041717767715454,0.009045163169503212,0.007462461944669485,5.670989990234375,0.00039564014878124
39,2,2,0,0.031514233447244855,0.11909272610850713,0.012337033636868,0.012140413746237755,0.04249919205904007,0.2438049614429474,4.768370445162873e-07,0.360131174325943,0.027010245248675346,0.0008311013807542622,0.017051368951797485,0.01295723021030426,0.009318776428699493,4.315633773803711,0.006231227423995733
40,8,8,0,0.020028097394673594,0.04005619478934719,0.0063637373968958855,0.007611594628542662,0.012632235884666443,0.31862175464630127,2.3841855067985307e-07,0.37068498134613037,0.030910132452845573,0.0003967427182942629,0.020535115152597427,0.0091457050293684,0.005231903865933418,2.897794723510742,0.002530937548726797
41,2,2,0,0.027901512392986216,0.07051930723843719,0.007441719528287649,0.017152894288301468,0.003544447012245655,0.07842518389225006,1.1920928244535389e-07,0.1363314837217331,0.01439299900084734,0.000512785860337317,0.008335687220096588,0.011905546300113201,0.006981760263442993,3.9524614810943604,0.0018271654844284058
42,5,5,0,0.038947295623432784,0.07789459124686557,0.013117742724716663,0.05520430952310562,0.06178396940231323,0.5606077909469604,3.576278118089249e-07,0.7431858777999878,0.03907429426908493,0.001970932586118579,0.017140263691544533,0.013800411485135555,0.02026352658867836,8.467340469360352,0.007420541252940893
43,3,3,0,0.03053046811043099,0.1009668734783833,0.014337718486785889,0.029909910634160042,0.007632722612470388,0.2539730370044708,1.1920928244535389e-07,0.36320462822914124,0.0277178343385458,0.0004421887861099094,0.02063458226621151,0.012753147631883621,0.009490716271102428,6.750247478485107,0.0024978232104331255
44,6,6,0,0.04136603300108938,0.08273206600217876,0.03444710373878479,0.051655977964401245,0.012497715651988983,0.5215904712677002,7.152555099310121e-07,0.7579818367958069,0.0438937209546566,0.0007478897459805012,0.019964737817645073,0.01759941317141056,0.013235695660114288,8.859930992126465,0.002338315127417445
45,4,4,0,0.06758425058472257,0.09660377680106785,0.036959510296583176,0.01085806917399168,0.05773204565048218,0.5486851334571838,4.768370445162873e-07,0.8020742535591125,0.03644401952624321,0.00047223633737303317,0.028946395963430405,0.026522886008024216,0.009591039270162582,3.8570046424865723,0.006365763954818249
46,2,2,0,0.047805151450010824,0.12819187732729265,0.020241083577275276,0.061919841915369034,0.044777609407901764,0.10208666324615479,1.1920928244535389e-07,0.30998989939689636,0.01782805100083351,0.0007190255564637482,0.0080161914229393,0.0184347964823246,0.014997735619544983,9.467793464660645,0.005340009927749634
47,7,7,0,0.03869567383423568,0.07739134766847136,0.017451632767915726,0.011236249469220638,0.015678076073527336,0.5175397992134094,1.5497195136049413e-06,0.6317169666290283,0.041301876306533813,0.0005427703727036715,0.020261893048882484,0.015004049986600876,0.0037079136818647385,3.151353359222412,0.0032238971907645464
48,3,3,0,0.011699473042150776,0.023398946084301552,0.005979145411401987,0.00019867386436089873,0.006974156945943832,0.1911080926656723,-0.0,0.22817665338516235,0.024777604267001152,0.0006516897119581699,0.012259146198630333,0.005940841510891914,0.0008144527673721313,0.4550989866256714,0.002477355068549514
49,3,3,0,0.047063847808121895,0.13647705506542582,0.026314670220017433,0.13226035237312317,0.08038437366485596,1.7922377586364746,0.00019178935326635838,2.137031078338623,0.06178130581974983,0.0013885197695344687,0.03743946552276611,0.02420766092836857,0.02868993580341339,10.89414119720459,0.008535753935575485
50,6,6,0,0.022428205436414134,0.032546161594719375,0.004716255236417055,0.01802031137049198,0.0074135675095021725,0.4141331613063812,2.3841855067985307e-07,0.4631490409374237,0.03599689155817032,0.0009376268135383725,0.01595226302742958,0.009952710010111332,0.009476011618971825,4.561280250549316,0.002407829510048032
51,3,3,0,0.04226395424010552,0.11186891889033672,0.014693372882902622,0.03522840514779091,0.017047278583049774,0.2861432135105133,3.576278118089249e-07,0.4118868410587311,0.026562487706542015,0.0009022622252814472,0.020673057064414024,0.018174536526203156,0.00465314369648695,6.200006008148193,0.0030143107287585735
52,4,4,0,0.032550889418542506,0.06510177883708501,0.014821476303040981,0.07134774327278137,0.012874161824584007,0.425298810005188,-0.0,0.5836280584335327,0.03465942665934563,0.00036524428287521005,0.025460470467805862,0.013679939322173595,0.014539584517478943,9.766666412353516,0.0030645830556750298
53,3,3,0,0.02096178427621466,0.03873397805978046,0.0052599478513002396,0.0050344825722277164,0.005625983700156212,0.10443035513162613,-0.0,0.14139056205749512,0.0158445555716753,0.0006943113985471427,0.012612810358405113,0.008902347646653652,0.0038949623703956604,2.590608596801758,0.0015159290051087737
54,8,8,0,0.040877828739401934,0.08175565747880387,0.016787704080343246,0.022593870759010315,0.013351300731301308,0.5748709440231323,1.1920928244535389e-07,0.6947550177574158,0.04120590537786484,0.0013691444182768464,0.02207222208380699,0.017009742558002472,0.008065611124038696,5.851100921630859,0.0030419675167649984
55,2,2,0,0.02860904509693684,0.11578883302316814,0.010320394299924374,0.021066954359412193,0.009610823355615139,0.2908550798892975,4.887569048150908e-06,0.37314948439598083,0.03227408602833748,0.0005563257727771997,0.011388443410396576,0.011923490092158318,0.009264834225177765,4.529923439025879,0.0029193051159381866
56,8,8,0,0.03561333293738393,0.07122666587476786,0.01468020398169756,0.06974799931049347,0.009936561807990074,0.9379324913024902,-0.0,1.0910180807113647,0.052547942847013474,0.000848794705234468,0.04313699156045914,0.014997068792581558,0.016475528478622437,9.901073455810547,0.002630926202982664
57,4,4,0,0.03050047752923902,0.07220572458394812,0.014371510595083237,0.027724798768758774,0.004783296957612038,0.4565765857696533,1.1920928244535389e-07,0.5609425902366638,0.03738216683268547,0.0011069981846958399,0.017400994896888733,0.013527488335967064,0.014280099421739578,6.21248722076416,0.0019662226550281048
58,6,6,0,0.013592542183062759,0.027185084366125517,0.008642551489174366,0.0664815604686737,0.022793473675847054,0.535437822341919,2.3841855067985307e-07,0.6679263114929199,0.04222122207283974,0.0003716996870934963,0.027227697893977165,0.00576907629147172,0.009677425026893616,8.617534637451172,0.003832377027720213
59,3,3,0,0.03609282634576433,0.1977521426451767,0.009970278479158878,0.02706817537546158,0.0020264426711946726,0.15085561573505402,4.768370445162873e-07,0.22980305552482605,0.016433456912636757,0.0011190532241016626,0.01821514591574669,0.015283566899597645,0.007293254137039185,6.3778815269470215,0.0013430006802082062
60,6,6,0,0.01882632731990001,0.035962737334626696,0.006411362439393997,0.07210525125265121,0.017327703535556793,0.272218257188797,-0.0,0.3937080204486847,0.02871253527700901,0.0007011180277913809,0.02504156343638897,0.00794917345046997,0.009712676517665386,7.4771270751953125,0.0037969686090946198
61,3,3,0,0.03239456369313778,0.06478912738627556,0.006617121864110231,0.013171208091080189,0.0055565438233315945,0.16979658603668213,-0.0,0.2216099500656128,0.02281939424574375,0.0005370755679905415,0.01600833795964718,0.011196091771125793,0.010993054136633873,3.998821973800659,0.0021422940772026777
62,3,3,0,0.02409463868766946,0.038858531814071,0.0167350172996521,0.0036327680572867393,0.020947540178894997,0.15186314284801483,-0.0,0.2601185441017151,0.021685928106307983,0.00021982418547850102,0.01564672589302063,0.012127303518354893,0.0053441873751580715,2.09085750579834,0.0037846534978598356
63,2,2,0,0.0086223329299094,0.022138085104575843,0.004478488117456436,0.0446028858423233,0.02674228698015213,0.12575913965702057,2.3841855067985307e-07,0.2194974720478058,0.019150057807564735,0.0006746267899870872,0.018226593732833862,0.0060840449295938015,0.013996042311191559,7.652685165405273,0.004243654198944569
64,8,8,0,0.030081701943508822,0.060163403887017644,0.006269166246056557,0.05400136485695839,0.0615503191947937,0.5895435810089111,1.1920922133867862e-06,0.7364446520805359,0.04633345827460289,0.0006495326524600387,0.022223446518182755,0.010437928140163422,0.01439526304602623,7.833858489990234,0.006320578046143055
65,6,6,0,0.04510742080432697,0.09021484160865394,0.016094762831926346,0.011838673613965511,0.01239477377384901,0.2816554009914398,-0.0,0.3863626718521118,0.025691404938697815,0.0015713139437139034,0.013102710247039795,0.016484910622239113,0.00898133497685194,3.5975241661071777,0.0032402737997472286
66,4,4,0,0.039788532655544204,0.10712663605765041,0.011971975676715374,0.05548252910375595,0.08031560480594635,0.4486439824104309,-0.0,0.6443020105361938,0.03815656900405884,0.0009764993446879089,0.012941107153892517,0.014203933998942375,0.009313523769378662,9.36806583404541,0.007409312762320042
67,5,5,0,0.0315003490521271,0.0630006981042542,0.013486621901392937,0.02348359301686287,0.008758878335356712,0.34147909283638,5.006777428206988e-06,0.44116970896720886,0.03276536986231804,0.0006847809418104589,0.0253723356872797,0.014375247992575169,0.005821067374199629,5.718121528625488,0.0019761589355766773
68,2,2,0,0.01856530022820429,0.03387546758198147,0.008333130739629269,0.001403678790666163,0.0017190995858982205,0.07531624287366867,-0.0,0.12010467052459717,0.017115071415901184,0.00018536564311943948,0.004000663757324219,0.009485406801104546,0.004655301570892334,1.4861564636230469,0.0011447705328464508
