leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,size,section_count,total,station_x_m_mae,center_yz_m_mae,width_m_mae,width_m_relative_percent_mean,height_m_mae,height_m_relative_percent_mean,length_m_mae,length_m_relative_percent_mean
14,3,3,0,0.006361514712740324,0.007495233084632666,0.00023554575454909354,0.0007664341828785837,4.0531076592742465e-06,0.0010100861545652151,0.005904416553676128,0.0006891265511512756,0.0007319897413253784,0.6435837149620056,0.0007256219978444278,1.1108179092407227,0.014839112758636475,1.7483667135238647
15,7,7,0,0.015581551140515201,0.018564170961447253,0.003237722907215357,0.011549727991223335,3.099436753473128e-06,0.014793649315834045,0.01430688239634037,0.0011354661546647549,0.0060003590770065784,5.400290012359619,0.0011624598409980536,0.9129478335380554,0.02335280179977417,2.782299518585205
16,3,3,0,0.005511763596969144,0.0066184565035819,6.449144711950794e-05,0.00037534290459007025,1.5497195136049413e-06,0.0004429337859619409,0.005017340183258057,0.0007770673837512732,0.000299602746963501,0.40507566928863525,0.0007190568139776587,0.9834985733032227,0.006905019283294678,0.8291460275650024
17,8,8,0,0.018440122469562406,0.019655655082044303,0.006085904315114021,0.019290201365947723,4.768370445162873e-07,0.02537705935537815,0.017102107405662537,0.001227131811901927,0.0060908799059689045,4.267638206481934,0.005719893611967564,4.901445388793945,0.014660239219665527,1.562661051750183
18,2,2,0,0.00469497331795493,0.005190901114325151,2.4049442799878307e-05,1.4865106095385272e-05,1.9073468138230965e-06,4.2729243432404473e-05,0.004251152276992798,0.0006193026201799512,4.717893898487091e-05,0.11771120131015778,0.000118255615234375,0.1700630486011505,0.008502304553985596,0.940039873123169
19,7,7,0,0.017368914130517964,0.019117252502063066,0.002454384695738554,0.00506153330206871,1.3470558769768104e-05,0.007542859297245741,0.016519900411367416,0.0010948788840323687,0.004167807288467884,3.263718366622925,0.0024556764401495457,1.84414541721344,0.033738672733306885,3.713477611541748
20,4,4,0,0.006178973222932123,0.007617216034716252,0.0010736933909356594,0.0036171977408230305,1.4305104514278355e-06,0.004693752154707909,0.004758745431900024,0.0012653263984248042,0.0011021150276064873,2.0145602226257324,0.0037376899272203445,2.6959986686706543,0.0007342100143432617,0.0905107706785202
21,7,7,0,0.007858213067564294,0.008372625612689706,0.005687673110514879,0.018669720739126205,2.0265558760002023e-06,0.024361446499824524,0.006550898775458336,0.0011175911640748382,0.004929372109472752,5.946008682250977,0.004868124611675739,4.625398635864258,0.010917425155639648,1.1632099151611328
22,5,5,0,0.023672224622549545,0.02428989998051031,0.0014154270756989717,0.003260413883253932,1.9073468138230965e-06,0.004679655656218529,0.02308880351483822,0.0018157096346840262,0.001536269555799663,1.8140617609024048,0.0030352489557117224,2.5614192485809326,0.045048296451568604,4.622373104095459
23,6,6,0,0.009469804567909003,0.009480593782107699,0.0010331321973353624,0.002442415338009596,4.529942543740617e-06,0.0034846074413508177,0.00877335574477911,0.0018654823070392013,0.001763432053849101,1.780124545097351,0.0013359971344470978,1.4075841903686523,0.011103928089141846,1.1116578578948975
24,2,2,0,0.001750866508572346,0.0021430882520644904,1.5600760434608674e-06,0.00019845330098178238,1.9073468138230965e-06,0.00020382807997521013,0.0007383525371551514,0.0010154712945222855,0.00030831433832645416,0.5191121101379395,0.0003191214054822922,0.5897136926651001,0.0014767050743103027,0.1807510256767273
25,2,2,0,0.003715110110153062,0.004007605145477133,1.1439584341133013e-05,5.849952140124515e-05,1.7881377516459906e-06,7.35153880668804e-05,0.002937108278274536,0.0009990886319428682,0.0001888629049062729,0.34026455879211426,0.0001508668065071106,0.22455918788909912,0.005874216556549072,0.6336700320243835
26,7,7,0,0.008817568172946186,0.009248982993203574,0.0030762723181396723,0.020894113928079605,4.6491513785440475e-06,0.023979684337973595,0.006699157878756523,0.0011350715067237616,0.005096559878438711,4.348407745361328,0.0068107531405985355,6.705999851226807,0.0031707286834716797,0.3325861990451813
27,3,3,0,0.003578878307586554,0.004686323930844048,7.538279896834865e-05,0.0006558863096870482,3.933898824470816e-06,0.0007391369435936213,0.002993683097884059,0.0007621679687872529,0.00045857205986976624,1.0501725673675537,0.0007884303922764957,0.7471036314964294,0.007783114910125732,1.0191516876220703
28,7,7,0,0.009556946900795078,0.01023378892020635,0.0033754161559045315,0.014966893009841442,5.245195097813848e-06,0.018352799117565155,0.00775881577283144,0.0009257630445063114,0.0025238203816115856,2.439383029937744,0.007473774719983339,5.515176296234131,0.0015257596969604492,0.16338171064853668
29,7,7,0,0.018704138725392606,0.03419285362770794,0.0050702947191894054,0.04247359558939934,6.794906312279636e-06,0.04755748063325882,0.017387768253684044,0.00106767937541008,0.007689003366976976,9.509613037109375,0.006735532078891993,4.835234642028809,0.018691718578338623,3.4170148372650146
30,3,3,0,0.004909696292076988,0.005857915730889348,5.1865383284166455e-05,0.0007149824523366988,2.264974000354414e-06,0.0007713778177276254,0.004520277492702007,0.0006677508354187012,0.0005377854104153812,0.5706899762153625,0.00115116941742599,1.1707863807678223,0.007108926773071289,0.8481888175010681
31,2,2,0,0.022568441504955725,0.023959815203547345,0.0006236959015950561,0.0005519625265151262,5.960446742392378e-06,0.0011875793570652604,0.02223905920982361,0.0003833929367829114,0.00015163235366344452,0.4201536476612091,0.001131538301706314,1.1892428398132324,0.04447811841964722,4.722025394439697
32,5,5,0,0.008734071007856736,0.010047297646619241,0.00038233367376960814,0.0006645695539191365,2.0265558760002023e-06,0.0010509563144296408,0.007781987078487873,0.0015396556118503213,0.0007667280733585358,1.0132719278335571,0.001143986009992659,0.9632039070129395,0.013016164302825928,1.4973232746124268
33,3,3,0,0.006815084276201283,0.009857954086917168,0.00020617811242118478,0.0019872260745614767,3.099436753473128e-06,0.002199603011831641,0.006431599613279104,0.0006142198108136654,0.0013426467776298523,1.2613475322723389,0.00212628161534667,1.882368564605713,0.010060787200927734,1.455283284187317
34,5,5,0,0.012731627470010855,0.014533972830879014,0.0007569480803795159,0.0024608392268419266,5.006777428206988e-06,0.003227800829336047,0.012048794887959957,0.0018918224377557635,0.0022502883803099394,1.8282428979873657,0.001395818660967052,1.532636284828186,0.020065248012542725,2.2905774116516113
35,5,5,0,0.0050614172888151406,0.0061076171160301725,0.0003820550045929849,0.0016281955176964402,2.50339189733495e-06,0.002015257254242897,0.0033167467918246984,0.0019431094406172633,0.0014348685508593917,1.8210748434066772,0.001561838435009122,1.1011781692504883,0.005258500576019287,0.634543776512146
36,5,5,0,0.013504685062766742,0.015469451627235425,0.0003605963138397783,0.0018662397051230073,3.2186455882765586e-06,0.0022332733497023582,0.01253044605255127,0.0016554957255721092,0.0024062208831310272,2.0486257076263428,0.0008293695864267647,1.1814512014389038,0.027551889419555664,3.1560351848602295
37,7,7,0,0.007818270850094162,0.01145224633932406,0.006149434484541416,0.010749978944659233,3.4570634852570947e-06,0.01690632849931717,0.006722481455653906,0.0010505535174161196,0.004158313386142254,3.995962619781494,0.003008923027664423,3.8350493907928467,0.004718482494354248,0.6911659240722656
38,7,7,0,0.009960971140435607,0.010147678890901351,0.0029703963082283735,0.0063102468848228455,2.861018856492592e-06,0.0092863654717803,0.009213782846927643,0.001259432639926672,0.0031705538276582956,2.7540955543518066,0.0026351544074714184,2.660463809967041,0.007385551929473877,0.7523986101150513
39,3,3,0,0.009559637335273282,0.010700973968937962,0.0006408019107766449,0.0024731599260121584,2.50339189733495e-06,0.0031189685687422752,0.008893728256225586,0.0007965137483552098,0.0020557704847306013,2.451303482055664,0.0016847526421770453,1.4181866645812988,0.005297422409057617,0.5929887890815735
40,8,8,0,0.013101515330131815,0.021033634820658318,0.020843414589762688,0.029277261346578598,1.1444026313256472e-05,0.050143562257289886,0.012278599664568901,0.0008696044678799808,0.005059121176600456,6.981356620788574,0.005321851000189781,5.925838470458984,0.02998030185699463,4.813143253326416
41,3,3,0,0.0067362457059086675,0.008055408591244768,0.0001662339345784858,0.0012655587634071708,4.172316494077677e-06,0.001440137391909957,0.006274402141571045,0.0007109632715582848,0.0014656571438536048,1.4170122146606445,0.0006617295439355075,1.096998929977417,0.01591271162033081,1.902890682220459
42,7,7,0,0.027065140648556054,0.033588988390792114,0.0032071557361632586,0.004703802522271872,1.7046782886609435e-05,0.007945052348077297,0.026634586974978447,0.0011869495501741767,0.0017833748133853078,2.4663329124450684,0.0041447295807302,2.748138189315796,0.037844717502593994,4.696690082550049
43,4,4,0,0.005563331359112049,0.008610713979165066,0.00015585786604788154,0.00137866020668298,2.264974000354414e-06,0.0015390480402857065,0.004811856895685196,0.001115292776376009,0.0008671628311276436,0.9340348243713379,0.002692699432373047,1.9592393636703491,0.009182751178741455,1.421271562576294
44,3,3,0,0.005553140522823608,0.007436040883814741,7.303623715415597e-05,0.0016687916358932853,1.5735502529423684e-05,0.0017732989508658648,0.005025973077863455,0.0006390637718141079,0.001085342257283628,1.4875400066375732,0.001026291400194168,1.5457462072372437,0.010834991931915283,1.4508806467056274
