leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,chord,twist,cst_code,section_count,total,cst_shape_coefficients_mae,cst_trailing_edge_y_mae,cst_n1_n2_mae,leading_edge_xyz_m_mae,chord_m_mae,chord_m_relative_percent_mean,twist_rad_mae
23,2,2,0,0.030294344646021605,0.1160127910075689,0.008881564252078533,0.004877983592450619,0.0036413068883121014,0.08574450016021729,2.3841855067985307e-07,0.13867232203483582,0.017092984169721603,0.00020968285389244556,0.010769069194793701,0.011747712269425392,0.0042162612080574036,2.2047953605651855,0.0015390822663903236
24,6,6,0,0.024485733494758452,0.048971466989516904,0.010443921200931072,0.030555536970496178,0.014009974896907806,0.30048200488090515,2.3841855067985307e-07,0.3972678482532501,0.031329087913036346,0.00053974095499143,0.019988691434264183,0.01036545354872942,0.004323925357311964,6.074235916137695,0.003196806414052844
25,3,3,0,0.023658089076626466,0.04731617815325293,0.0045162383466959,0.002504457952454686,0.013509918004274368,0.06947033852338791,-0.0,0.1080659031867981,0.014678524807095528,0.0002933232462964952,0.0138644278049469,0.009092218242585659,0.0032057538628578186,1.6206021308898926,0.0029387176036834717
26,3,3,0,0.028538691668354984,0.08418691073139999,0.007433079648762941,0.005261855665594339,0.04824318364262581,0.07379057258367538,2.3841855067985307e-07,0.16446173191070557,0.014093587175011635,0.00047440238995477557,0.010291452519595623,0.010840022005140781,0.004940976854413748,2.478120803833008,0.0059598591178655624
27,2,2,0,0.02070098077375946,0.041356390410413536,0.005938241258263588,0.0016181954415515065,0.006645667366683483,0.13708281517028809,-0.0,0.17503789067268372,0.021311180666089058,0.0005305841332301497,0.014458976686000824,0.009984657168388367,0.002412542700767517,1.1756980419158936,0.002505483105778694
28,8,8,0,0.02590720080699118,0.035677732620499364,0.008324533700942993,0.008475958369672298,0.002925780601799488,0.4435974955558777,2.3841855067985307e-07,0.49662262201309204,0.03595005348324776,0.0012107962975278497,0.02301882766187191,0.012140627019107342,0.007764536887407303,2.8261055946350098,0.0013308868510648608
29,5,5,0,0.022977527519151976,0.04404431337067406,0.010518171824514866,0.016682695597410202,0.01153938751667738,0.3296271860599518,1.1920928244535389e-07,0.41044047474861145,0.03021124377846718,0.0006738157826475799,0.013890746049582958,0.00929898303002119,0.009825602173805237,4.571878433227539,0.0031391128432005644
30,4,4,0,0.03506131260979997,0.052834008382659114,0.010282356292009354,0.006774678826332092,0.023443391546607018,0.29665371775627136,1.1920928244535389e-07,0.37828391790390015,0.0320989228785038,0.0004140662495046854,0.015133503824472427,0.013029276393353939,0.005648326128721237,2.8702502250671387,0.0041131190955638885
31,3,3,0,0.030989712127770973,0.07852427684332122,0.006739807780832052,0.009661764837801456,0.007684797514230013,0.1386534720659256,-0.0,0.18969906866550446,0.020235709846019745,0.0002364879474043846,0.011821955442428589,0.011098277755081654,0.006732915993779898,3.3948826789855957,0.0026774792931973934
32,3,3,0,0.016276330413862252,0.026702810397323206,0.0025177430361509323,0.0025341068394482136,0.010516747832298279,0.0691436231136322,-0.0,0.09478319436311722,0.014186897315084934,0.0005443075206130743,0.013655598275363445,0.006596437655389309,0.004427631851285696,1.9303686618804932,0.0029013613238930702
